,X_MSE_AV_1,X_MAE_AV_1,Y_MSE_AV_1,Y_MAE_AV_1,x_test_1,y_test_1,dir_1
0,3.358,1.832,0.01,0.102,1.0,1.0,1.684
1,0.599,0.774,3.621,1.903,2.0,1.0,2.11
2,0.002,0.041,4.482,2.117,3.0,1.0,2.242
3,0.079,0.282,32.494,5.7,4.0,1.0,16.287
4,6.958,2.638,6.593,2.568,5.0,1.0,6.775
5,3.937,1.984,3.407,1.846,7.0,1.0,3.672
6,0.187,0.433,0.732,0.855,8.0,1.0,0.46
7,0.296,0.544,7.525,2.743,9.0,1.0,3.911
8,0.507,0.712,0.002,0.047,11.0,1.0,0.254
9,4.768,2.184,4.103,2.026,12.0,1.0,4.436
10,12.173,3.489,3.258,1.805,13.0,1.0,7.716
11,19.873,4.458,672.265,25.928,14.0,1.0,346.069
12,15.286,3.91,159.472,12.628,15.0,1.0,87.379
13,6.125,2.475,0.892,0.945,1.0,2.0,3.509
14,2.817,1.678,3.445,1.856,2.0,2.0,3.131
15,0.095,0.308,0.905,0.951,3.0,2.0,0.5
16,0.167,0.408,0.282,0.531,4.0,2.0,0.224
17,3.849,1.962,0.373,0.611,5.0,2.0,2.111
18,1.2,1.095,0.126,0.355,7.0,2.0,0.663
19,0.016,0.126,0.022,0.15,8.0,2.0,0.019
20,2.297,1.516,1.839,1.356,9.0,2.0,2.068
21,0.302,0.55,14.167,3.764,11.0,2.0,7.235
22,4.794,2.189,6.121,2.474,12.0,2.0,5.457
23,0.039,0.197,8.59,2.931,13.0,2.0,4.314
24,4.092,2.023,7.217,2.686,14.0,2.0,5.654
25,37.026,6.085,21.047,4.588,15.0,2.0,29.037
26,0.798,0.893,1.171,1.082,1.0,3.0,0.984
27,0.001,0.031,0.042,0.204,2.0,3.0,0.021
28,0.024,0.154,10.959,3.31,3.0,3.0,5.491
29,0.012,0.107,2.132,1.46,4.0,3.0,1.072
30,1.018,1.009,0.345,0.588,5.0,3.0,0.682
31,2.752,1.659,2.129,1.459,7.0,3.0,2.44
32,0.016,0.125,1.102,1.05,8.0,3.0,0.559
33,2.078,1.441,2.264,1.505,9.0,3.0,2.171
34,0.331,0.575,8.03,2.834,11.0,3.0,4.18
35,0.093,0.305,7.31,2.704,12.0,3.0,3.702
36,1.019,1.009,1.881,1.372,13.0,3.0,1.45
37,0.64,0.8,13.548,3.681,14.0,3.0,7.094
38,8.393,2.897,2.484,1.576,15.0,3.0,5.439
39,0.298,0.546,2.431,1.559,1.0,4.0,1.365
40,3.414,1.848,84.715,9.204,2.0,4.0,44.064
41,5.356,2.314,14.386,3.793,3.0,4.0,9.871
42,3.987,1.997,0.774,0.88,4.0,4.0,2.381
