,фаза 1-го луча,мощность 1-го луча,врем€ 1-го луча,AоD phi 1-го луча,AоD theta 1-го луча,AоA phi 1-го луча,Aој theta 1-го луча,фаза 2-го луча,мощность 2-го луча,врем€ 2-го луча,AоD phi 2-го луча,AоD theta 2-го луча,AоA phi 2-го луча,Aој theta 2-го луча,фаза 3-го луча,мощность 3-го луча,врем€ 3-го луча,AоD phi 3-го луча,AоD theta 3-го луча,AоA phi 3-го луча,Aој theta 3-го луча,фаза 4-го луча,мощность 4-го луча,врем€ 4-го луча,AоD phi 4-го луча,AоD theta 4-го луча,AоA phi 4-го луча,Aој theta 4-го луча,фаза 5-го луча,мощность 5-го луча,врем€ 5-го луча,AоD phi 5-го луча,AоD theta 5-го луча,AоA phi 5-го луча,Aој theta 5-го луча,фаза 6-го луча,мощность 6-го луча,врем€ 6-го луча,AоD phi 6-го луча,AоD theta 6-го луча,AоA phi 6-го луча,Aој theta 6-го луча,фаза 7-го луча,мощность 7-го луча,врем€ 7-го луча,AоD phi 7-го луча,AоD theta 7-го луча,AоA phi 7-го луча,Aој theta 7-го луча,фаза 8-го луча,мощность 8-го луча,врем€ 8-го луча,AоD phi 8-го луча,AоD theta 8-го луча,AоA phi 8-го луча,Aој theta 8-го луча,фаза 9-го луча,мощность 9-го луча,врем€ 9-го луча,AоD phi 9-го луча,AоD theta 9-го луча,AоA phi 9-го луча,Aој theta 9-го луча,фаза 10-го луча,мощность 10-го луча,врем€ 10-го луча,AоD phi 10-го луча,AоD theta 10-го луча,AоA phi 10-го луча,Aој theta 10-го луча,фаза 11-го луча,мощность 11-го луча,врем€ 11-го луча,AоD phi 11-го луча,AоD theta 11-го луча,AоA phi 11-го луча,Aој theta 11-го луча,фаза 12-го луча,мощность 12-го луча,врем€ 12-го луча,AоD phi 12-го луча,AоD theta 12-го луча,AоA phi 12-го луча,Aој theta 12-го луча,фаза 13-го луча,мощность 13-го луча,врем€ 13-го луча,AоD phi 13-го луча,AоD theta 13-го луча,AоA phi 13-го луча,Aој theta 13-го луча,фаза 14-го луча,мощность 14-го луча,врем€ 14-го луча,AоD phi 14-го луча,AоD theta 14-го луча,AоA phi 14-го луча,Aој theta 14-го луча,фаза 15-го луча,мощность 15-го луча,врем€ 15-го луча,AоD phi 15-го луча,AоD theta 15-го луча,AоA phi 15-го луча,Aој theta 15-го луча,x,y,z,N
18,-50.055,-62.348,2.3821e-08,-8.1296,8.0493,171.87,-8.05,-76.576,-63.802,2.4044e-08,-11.268,7.984,-168.59,-7.95,-157.23,-69.417,3.0389e-08,-173.95,6.3156,173.62,-6.3,73.126,-69.696,2.3858e-08,-11.31,8.0243,175.1,-8.05,89.139,-71.091,3.3846e-08,-8.0012,5.6616,-172.06,-5.65,-102.19,-71.166,3.6994e-08,-5.1926,5.2011,5.196,-5.15,-66.857,-71.275,2.4044e-08,-11.31,7.9985,-168.74,-7.95,28.264,-71.52,4.3619e-08,57.537,4.4288,122.48,-4.35,33.265,-71.827,4.5104e-08,125.72,4.0757,125.32,-4.25,-53.341,-71.839,3.7138e-08,-7.2559,5.1568,-7.251,-5.15,109.61,-72.386,4.7036e-08,-59.956,4.2188,119.82,-4.05,-123.77,-73.042,4.6694e-08,38.015,4.092,38.022,-4.1,0.399,-74.432,3.0395e-08,-172.73,6.3044,175.13,-6.3,-52.168,-75.214,4.4747e-08,58.452,4.243,-121.55,-4.2999,-12.387,-75.413,4.6196e-08,123.89,3.9713,-124.41,-4.15,1.0,1.0,1.5,1
19,-118.27,-61.131,2.0562e-08,-9.4516,9.3538,170.52,-9.3,-178.05,-62.935,2.082e-08,-13.133,9.2037,-166.86,-9.25,-27.362,-69.637,2.0835e-08,-15.642,9.2304,-168.71,-9.2,42.814,-70.284,3.0564e-08,-8.875,6.2223,-171.18,-6.3,-41.318,-70.293,2.0649e-08,-15.642,9.2917,175.13,-9.3,-17.451,-70.313,3.418e-08,168.73,5.6021,168.68,-5.6,-126.73,-70.335,3.3688e-08,-174.3,5.6122,174.29,-5.7,-126.75,-70.335,3.3688e-08,-5.7217,5.6561,5.7032,-5.7,-90.902,-71.093,3.3846e-08,-7.9769,5.6645,-7.9648,-5.65,-97.443,-71.934,3.4466e-08,165.91,5.3688,-166.65,-5.6,134.97,-72.493,4.7107e-08,128.73,4.1161,128.65,-4.05,115.91,-74.553,3.8479e-08,57.529,5.0008,120.62,-4.95,37.838,-74.658,3.369e-08,-173.86,5.6108,175.14,-5.7,-135.67,-75.833,3.501e-08,-5.4803,5.4949,5.4999,-5.45,131.83,-76.055,4.8154e-08,127.63,4.0889,-127.67,-3.9501,2.0,1.0,1.5,1
20,145.7,-59.737,1.7332e-08,-11.304,11.093,168.68,-11.1,40.439,-62.14,1.7638e-08,-15.668,10.902,-164.4,-10.9,86.429,-67.478,3.7443e-08,-63.055,5.2577,116.54,-5.1,-15.426,-69.416,2.7295e-08,-9.902,7.0518,-170.06,-7.0,-157.17,-69.418,3.0389e-08,-6.3943,6.3052,6.3131,-6.3,-137.26,-70.288,3.0564e-08,-8.8166,6.1963,-8.8544,-6.3,45.609,-71.14,3.7442e-08,169.69,5.1444,169.7,-5.1,-102.2,-71.165,3.6994e-08,-174.84,5.1018,174.79,-5.2,100.27,-71.587,1.7559e-08,-25.017,10.953,175.11,-10.95,-55.377,-71.593,3.8636e-08,-64.84,4.9918,-115.71,-4.9501,107.07,-71.918,1.7744e-08,-25.017,10.804,-168.71,-10.85,66.795,-74.961,3.6994e-08,-174.69,5.235,175.13,-5.15,-166.18,-75.03,3.1708e-08,-6.1017,6.0144,6.0587,-6.05,-176.66,-75.114,3.3368e-08,57.724,5.7216,118.42,-5.75,54.298,-76.773,3.686e-08,64.36,5.182,118.41,-5.2,3.0,1.0,1.5,1
21,2.066,-58.115,1.4152e-08,-14.035,13.616,165.96,-13.65,-168.49,-61.643,1.4524e-08,-19.31,13.254,-160.73,-13.3,74.376,-66.47,3.1813e-08,65.02,5.979,114.92,-6.05,164.29,-68.392,2.7099e-08,-7.1134,7.1322,7.1289,-7.05,-90.512,-68.459,2.4045e-08,-11.562,7.785,-168.79,-8.05,164.62,-69.413,2.7295e-08,-9.9584,7.0777,-9.9155,-7.0,-83.295,-70.823,3.3021e-08,66.042,5.7944,-113.97,-5.8,-47.888,-73.094,3.7318e-08,-70.119,4.8232,-111.12,-5.1501,174.54,-74.121,1.4964e-08,-54.462,12.801,175.15,-12.9,155.29,-74.154,2.8414e-08,-6.8435,6.7156,6.7719,-6.75,-160.79,-74.273,1.5577e-08,-15.308,35.882,167.25,13.703,91.304,-74.857,2.4044e-08,-11.317,8.0349,-168.74,-7.95,179.47,-75.309,1.5147e-08,-54.462,12.811,-168.69,-12.7,71.058,-76.441,1.5916e-08,-20.994,35.0,-162.45,13.375,80.205,-77.053,4.0305e-08,-4.7159,4.7336,175.23,-4.75,4.0,1.0,1.5,1
24,48.24,-44.823,5.7775e-09,-45.0,35.264,135.0,-35.264,-135.7,-51.54,6.6378e-09,-54.466,30.17,-125.56,-30.15,-22.56,-54.612,1.1063e-08,-161.61,17.545,161.54,-17.55,-48.192,-58.981,1.7332e-08,-11.326,11.093,11.286,-11.1,100.34,-60.087,1.1536e-08,-155.0,16.823,-154.97,-16.8,-141.06,-60.94,1.7638e-08,-15.629,10.902,-15.663,-10.9,-59.538,-65.646,1.862e-08,-10.489,10.336,10.494,-10.3,-92.996,-66.9,2.3821e-08,-171.72,8.0462,8.1049,-8.05,-111.05,-67.825,2.4044e-08,-168.77,8.1199,-11.324,-7.95,-153.33,-67.94,1.8905e-08,-14.547,10.173,-14.518,-10.15,-10.022,-69.29,3.0389e-08,-6.2676,6.3052,173.62,-6.3,14.112,-69.95,3.0564e-08,-8.8949,6.1964,-171.18,-6.3,-106.72,-70.911,1.9914e-08,-9.8003,9.6361,9.7631,-9.65,-103.47,-72.917,2.513e-08,-172.29,7.4837,7.6935,-7.65,-86.609,-73.676,4.6388e-08,-5.7,4.2082,-5.8186,-4.1,7.0,1.0,1.5,10
25,-115.75,-43.063,4.7173e-09,-90.0,45.0,90.0,-45.0,-88.855,-50.544,5.7389e-09,-90.0,35.536,-89.999,-35.55,-177.13,-56.999,1.4152e-08,-165.96,13.616,165.96,-13.65,-177.14,-57.0,1.4152e-08,-14.051,13.616,14.021,-13.65,30.653,-60.016,1.4524e-08,-160.7,13.304,-160.72,-13.25,30.686,-60.018,1.4524e-08,-19.293,13.254,-19.287,-13.3,170.24,-64.234,1.5416e-08,-12.836,12.491,12.778,-12.5,94.072,-66.684,6.0297e-08,77.088,3.195,77.292,-3.15,15.753,-67.451,1.5759e-08,-17.613,12.184,-17.681,-12.25,-46.285,-68.18,2.7099e-08,-172.89,7.1322,7.1289,-7.05,-46.294,-68.181,2.7099e-08,-7.1463,7.1322,172.88,-7.05,-40.768,-68.945,2.7295e-08,-170.04,7.0777,-9.9155,-7.0,-40.764,-68.946,2.7295e-08,-9.8826,7.0777,-170.06,-7.0,110.09,-69.091,2.4045e-08,-168.44,7.785,-168.79,-8.05,144.39,-69.409,1.6692e-08,-11.775,11.496,11.763,-11.55,8.0,1.0,1.5,10
28,127.42,-56.168,1.1063e-08,-161.56,17.545,18.433,-17.55,-138.26,-62.062,1.1536e-08,-155.01,16.823,-25.028,-16.8,-106.49,-64.437,1.1103e-08,-153.43,17.441,15.23,-17.5,-60.966,-65.738,1.2711e-08,-157.64,15.129,-22.387,-15.25,133.05,-65.985,3.3189e-08,-8.2367,5.7083,-8.0734,-5.8,114.24,-67.235,2.3821e-08,-171.88,8.0463,171.87,-8.05,31.804,-67.304,1.1537e-08,-153.43,16.82,-24.402,-16.8,146.56,-68.129,1.2287e-08,-161.57,15.757,15.247,-15.75,89.474,-68.474,2.4044e-08,-168.71,8.1199,-168.69,-7.95,-99.471,-70.421,1.2343e-08,-153.43,15.614,12.958,-15.7,-72.923,-72.145,3.3403e-08,-10.483,5.6956,-10.316,-5.75,7.803,-72.398,3.9777e-08,-173.45,4.9229,-6.7862,-4.8,-156.22,-73.683,3.3283e-08,-10.483,5.7551,0.025127,-5.75,145.2,-73.958,3.3189e-08,-8.1621,5.8024,-8.1547,-5.75,138.77,-74.482,1.3537e-08,-161.57,14.305,12.974,-14.25,11.0,1.0,1.5,9
29,-16.722,-63.284,1.5417e-08,-167.53,12.491,13.085,-12.5,-3.067,-68.104,1.4156e-08,-167.47,13.604,15.256,-13.65,164.31,-68.393,2.7099e-08,-172.85,7.1322,172.88,-7.05,164.57,-69.416,2.7295e-08,-170.12,7.0777,-170.06,-7.0,-7.086,-71.357,1.5416e-08,-167.47,12.49,12.983,-12.5,-150.27,-72.539,3.0149e-08,-12.021,6.3583,-10.33,-6.35,34.667,-73.049,4.308e-08,-173.85,4.391,-6.2586,-4.45,129.6,-73.533,1.543e-08,-169.69,12.466,15.236,-12.5,131.49,-73.889,3.0029e-08,-11.934,6.3182,0.025157,-6.4,126.23,-74.075,3.9185e-08,109.94,4.8631,69.981,-4.9,90.445,-74.376,2.9911e-08,-9.7056,6.4103,-8.1321,-6.4,-176.37,-74.979,5.6309e-08,-66.826,3.3492,39.244,-3.4,-38.338,-75.114,2.7303e-08,-167.47,7.0763,-170.87,-7.0,-72.399,-75.637,2.7134e-08,-167.47,7.0997,174.49,-7.05,118.54,-76.975,1.6696e-08,-169.69,11.559,12.986,-11.5,12.0,1.0,1.5,9
30,63.35,-67.217,3.6849e-08,117.05,5.1857,62.984,-5.2,-157.22,-69.416,3.0389e-08,-173.73,6.3052,173.62,-6.3,-73.804,-69.7,4.7655e-08,66.92,4.0379,39.321,-4.0,-74.426,-71.306,3.8038e-08,116.1,5.0056,-63.876,-5.0501,57.344,-73.658,4.6388e-08,-174.3,4.2082,-5.8186,-4.1,-1.174,-74.702,3.0396e-08,-171.87,6.3011,174.48,-6.3,99.384,-74.843,4.8509e-08,65.74,3.9301,-40.566,-3.9499,172.94,-75.034,5.5094e-08,-69.991,3.7219,36.04,-3.45,96.4,-75.347,1.7364e-08,-171.87,11.095,15.207,-11.05,-26.553,-76.992,4.0305e-08,-175.27,4.739,175.23,-4.75,29.105,-77.767,4.0437e-08,-173.34,4.8268,-173.35,-4.7,96.77,-77.773,4.3619e-08,-175.57,4.3385,4.3879,-4.4,-151.63,-77.96,1.8664e-08,-172.88,10.291,15.22,-10.3,78.886,-77.986,1.8636e-08,-171.87,10.321,12.984,-10.3,166.15,-78.251,4.3741e-08,-173.88,4.4519,-6.1557,-4.35,13.0,1.0,1.5,9
31,140.09,-67.048,3.8474e-08,121.45,4.9413,58.498,-5.0,-88.716,-69.48,4.6453e-08,70.702,4.1533,35.516,-4.1,37.115,-69.485,4.672e-08,70.698,-7.3271,35.521,-7.4,-126.76,-70.335,3.3688e-08,-174.29,5.6561,174.29,-5.7,48.286,-70.829,3.9614e-08,120.49,4.8041,-59.549,-4.8501,-154.53,-72.411,4.6709e-08,-60.621,4.0178,60.881,-4.1,-16.815,-72.839,4.5473e-08,-116.05,4.2683,63.796,-4.2,44.251,-74.209,3.3689e-08,-173.99,5.6537,174.49,-5.7,43.218,-74.648,5.7811e-08,78.485,3.3275,152.18,-3.3,-148.19,-74.694,4.672e-08,70.801,-7.4934,35.55,-7.375,-161.12,-74.695,4.6724e-08,70.785,-6.1595,35.55,-7.875,142.89,-75.716,4.7239e-08,69.446,4.0475,-36.868,-4.0499,154.3,-75.765,3.501e-08,-174.42,5.4948,174.56,-5.45,-87.304,-75.836,4.7502e-08,69.378,-7.3023,-36.841,-7.2501,147.74,-75.893,2.1231e-08,-159.77,9.0309,-10.322,-9.05,14.0,1.0,1.5,9
