,фаза 1-го луча,мощность 1-го луча,врем€ 1-го луча,AоD phi 1-го луча,AоD theta 1-го луча,AоA phi 1-го луча,Aој theta 1-го луча,фаза 2-го луча,мощность 2-го луча,врем€ 2-го луча,AоD phi 2-го луча,AоD theta 2-го луча,AоA phi 2-го луча,Aој theta 2-го луча,фаза 3-го луча,мощность 3-го луча,врем€ 3-го луча,AоD phi 3-го луча,AоD theta 3-го луча,AоA phi 3-го луча,Aој theta 3-го луча,фаза 4-го луча,мощность 4-го луча,врем€ 4-го луча,AоD phi 4-го луча,AоD theta 4-го луча,AоA phi 4-го луча,Aој theta 4-го луча,фаза 5-го луча,мощность 5-го луча,врем€ 5-го луча,AоD phi 5-го луча,AоD theta 5-го луча,AоA phi 5-го луча,Aој theta 5-го луча,фаза 6-го луча,мощность 6-го луча,врем€ 6-го луча,AоD phi 6-го луча,AоD theta 6-го луча,AоA phi 6-го луча,Aој theta 6-го луча,фаза 7-го луча,мощность 7-го луча,врем€ 7-го луча,AоD phi 7-го луча,AоD theta 7-го луча,AоA phi 7-го луча,Aој theta 7-го луча,фаза 8-го луча,мощность 8-го луча,врем€ 8-го луча,AоD phi 8-го луча,AоD theta 8-го луча,AоA phi 8-го луча,Aој theta 8-го луча,фаза 9-го луча,мощность 9-го луча,врем€ 9-го луча,AоD phi 9-го луча,AоD theta 9-го луча,AоA phi 9-го луча,Aој theta 9-го луча,фаза 10-го луча,мощность 10-го луча,врем€ 10-го луча,AоD phi 10-го луча,AоD theta 10-го луча,AоA phi 10-го луча,Aој theta 10-го луча,фаза 11-го луча,мощность 11-го луча,врем€ 11-го луча,AоD phi 11-го луча,AоD theta 11-го луча,AоA phi 11-го луча,Aој theta 11-го луча,фаза 12-го луча,мощность 12-го луча,врем€ 12-го луча,AоD phi 12-го луча,AоD theta 12-го луча,AоA phi 12-го луча,Aој theta 12-го луча,фаза 13-го луча,мощность 13-го луча,врем€ 13-го луча,AоD phi 13-го луча,AоD theta 13-го луча,AоA phi 13-го луча,Aој theta 13-го луча,фаза 14-го луча,мощность 14-го луча,врем€ 14-го луча,AоD phi 14-го луча,AоD theta 14-го луча,AоA phi 14-го луча,Aој theta 14-го луча,фаза 15-го луча,мощность 15-го луча,врем€ 15-го луча,AоD phi 15-го луча,AоD theta 15-го луча,AоA phi 15-го луча,Aој theta 15-го луча,x,y,z,N
0,44.951,-72.662,0.0,21.337,4.181,-21.337,-4.15,-126.42,-72.898,0.0,20.779,4.056,-159.27,-4.05,25.105,-78.205,0.0,163.34,3.232,-161.68,-3.6,161.51,-83.476,0.0,-19.29,3.868,-153.0,-3.9,-82.438,-83.709,0.0,-19.29,3.943,-27.866,-4.0,108.45,-83.905,0.0,109.44,3.524,109.44,-3.15,-130.38,-84.277,0.0,-153.51,3.575,-26.571,-3.45,-93.716,-85.028,0.0,72.953,3.266,106.99,-3.2,-16.336,-85.849,0.0,13.555,2.76,-13.504,-2.65,27.078,-86.236,0.0,162.64,3.234,-161.73,-3.6,-145.79,-86.477,0.0,162.64,3.838,-18.783,-3.65,-124.0,-87.528,0.0,157.05,3.146,-153.01,-3.4,-103.64,-87.716,0.0,11.369,2.317,-11.406,-2.25,-8.256,-87.937,0.0,157.05,3.543,-27.873,-3.45,-76.522,-88.188,0.0,128.66,4.399,-18.785,-3.9,1.0,1.0,1.5,1
1,-178.16,-72.048,0.0,22.973,4.485,-22.959,-4.45,23.122,-72.297,0.0,22.343,4.311,-157.74,-4.35,33.761,-72.47,0.0,-28.563,4.345,-28.463,-4.25,-77.308,-72.68,0.0,-27.775,4.164,-152.33,-4.15,45.078,-79.885,0.0,160.35,3.778,-18.814,-3.7,-146.1,-80.41,0.0,160.35,3.8,-161.73,-3.6,160.73,-84.143,0.0,-155.07,3.145,-25.12,-3.3,173.27,-84.599,0.0,-34.992,4.334,-27.862,-4.25,-101.55,-85.305,0.0,14.015,2.817,-14.212,-2.8,54.217,-85.433,0.0,-34.992,4.131,-152.98,-4.15,149.36,-86.043,0.0,65.644,4.975,119.08,-5.0,166.11,-86.339,0.0,-29.453,18.015,-27.95,3.258,45.184,-86.895,0.0,-28.529,18.265,-152.8,3.075,-51.652,-87.721,0.0,18.975,3.305,160.9,-3.35,-100.24,-88.311,0.0,23.859,18.93,-22.5,3.404,2.0,1.0,1.5,1
2,-78.168,-71.407,0.0,24.824,4.811,-24.85,-4.8,138.84,-71.668,0.0,24.087,4.691,-155.95,-4.65,3.623,-71.919,0.0,-30.356,4.59,-30.687,-4.55,-85.337,-72.138,0.0,-29.759,4.7,-150.26,-4.4,-156.42,-74.237,0.0,162.31,3.456,-17.787,-3.5,7.576,-74.448,0.0,162.47,3.493,-162.68,-3.4,-158.04,-78.468,0.0,-74.799,5.086,105.17,-4.65,-101.5,-81.026,0.0,54.153,3.087,-54.278,-3.1,-83.353,-81.624,0.0,13.13,2.474,-13.018,-2.6,-73.941,-83.242,0.0,72.682,5.252,106.47,-5.25,57.098,-83.357,0.0,-25.017,4.299,-149.54,-4.45,83.018,-83.482,0.0,73.083,-7.89,106.5,-8.35,135.17,-83.961,0.0,-25.017,4.558,-31.54,-4.55,62.502,-84.016,0.0,-156.28,3.211,-23.783,-3.1,164.48,-84.741,0.0,14.766,2.904,-14.918,-2.95,3.0,1.0,1.5,1
3,-24.334,-70.744,0.0,26.938,5.168,-27.055,-5.2,-147.61,-71.012,0.0,26.068,4.952,-153.87,-5.05,-21.376,-74.751,0.0,163.21,3.306,-16.756,-3.3,136.31,-74.952,0.0,163.62,3.15,-163.61,-3.25,56.983,-77.957,0.0,-37.028,4.684,-37.062,-4.65,38.449,-78.491,0.0,-35.986,4.471,-144.04,-4.55,-162.67,-81.162,0.0,13.665,2.709,-13.641,-2.7,-38.995,-82.482,0.0,163.27,-2.353,-16.8,-7.125,-61.382,-83.969,0.0,-157.45,3.071,-22.578,-2.95,60.199,-84.137,0.0,15.443,3.064,-15.721,-3.1,-133.37,-84.818,0.0,31.227,32.674,-25.9,3.275,87.547,-85.231,0.0,30.276,32.931,-154.95,3.125,57.505,-85.27,0.0,-54.462,4.947,-31.549,-4.85,-32.591,-85.46,0.0,21.443,3.737,158.46,-3.75,-22.979,-85.727,0.0,-54.462,4.984,-149.52,-4.7,4.0,1.0,1.5,1
4,-28.912,-70.054,0.0,29.483,5.585,-29.62,-5.65,-126.97,-70.326,0.0,28.568,5.499,-151.48,-5.45,98.817,-75.242,0.0,164.18,3.214,-15.871,-3.1,-108.63,-75.433,0.0,164.41,3.108,-164.5,-3.05,125.95,-76.633,0.0,-39.896,5.132,-40.082,-4.95,146.74,-77.141,0.0,-38.836,4.769,-141.19,-4.85,165.69,-78.071,0.0,-80.909,7.588,-99.234,-7.6,109.88,-80.68,0.0,14.288,3.392,-14.312,-2.8,-55.912,-83.507,0.0,16.595,3.506,-16.573,-3.25,120.73,-84.237,0.0,22.942,3.86,157.01,-4.0,54.29,-85.833,0.0,-156.63,3.1,-18.792,-3.05,-137.66,-86.526,0.0,-156.63,2.938,-161.7,-3.0,24.853,-87.482,0.0,13.757,3.198,-13.504,-2.65,166.06,-87.624,0.0,13.048,2.196,-166.72,-2.65,-149.31,-87.983,0.0,-15.705,2.33,-18.467,-2.8,5.0,1.0,1.5,1
5,-115.11,-54.308,0.0,99.09,11.171,-80.91,-11.171,-156.81,-54.436,0.0,103.49,11.006,-103.51,-11.0,174.05,-62.131,0.0,36.321,6.765,-36.331,-6.75,140.52,-62.419,0.0,34.809,6.52,-145.24,-6.5,119.67,-62.564,0.0,-96.364,7.662,-83.867,-7.65,-148.46,-67.175,0.0,150.52,5.585,-29.62,-5.65,106.06,-67.538,0.0,151.43,5.499,-151.48,-5.45,88.984,-68.644,0.0,-47.368,5.592,-47.43,-5.7,-158.94,-68.762,0.0,-45.792,5.44,-134.22,-5.55,85.338,-73.761,0.0,-140.1,5.132,-40.082,-4.95,35.928,-76.389,0.0,18.605,3.713,-18.683,-3.65,21.924,-77.582,0.0,91.094,1.394,88.852,-1.4,46.089,-78.307,0.0,80.565,1.414,80.597,-1.35,-131.46,-78.6,0.0,102.21,1.099,77.898,-1.4,43.978,-78.791,0.0,104.74,10.996,-99.462,-11.0,7.0,1.0,1.5,10
6,-104.1,-54.712,0.0,109.8,10.657,-70.201,-10.657,15.202,-54.943,0.0,113.75,10.376,-113.77,-10.35,-102.48,-61.559,0.0,40.732,7.421,-40.78,-7.45,-82.869,-61.754,0.0,38.9,7.169,-141.12,-7.15,-126.06,-62.171,0.0,-106.52,7.28,-106.56,-7.4,-9.983,-62.281,0.0,-103.77,7.38,-76.348,-7.5,-160.72,-68.087,0.0,153.06,5.168,-27.055,-5.2,70.256,-68.454,0.0,153.93,4.952,-153.87,-5.05,-37.717,-68.694,0.0,-50.037,5.985,-129.96,-5.9,141.91,-68.901,0.0,-51.923,6.18,-51.909,-6.05,-157.78,-72.854,0.0,113.67,2.311,66.381,-2.35,-141.67,-74.154,0.0,76.352,2.356,-76.447,-2.3,-8.797,-74.876,0.0,-142.97,4.684,-37.062,-4.65,-126.16,-75.543,0.0,19.792,3.883,-19.938,-3.9,-150.92,-77.413,0.0,82.266,1.354,82.2,-1.4,8.0,1.0,1.5,10
7,154.82,-55.347,0.0,119.25,9.898,-60.751,-9.898,110.5,-55.644,0.0,122.62,9.563,-122.64,-9.55,-91.815,-61.395,0.0,43.991,7.859,-136.15,-7.9,177.05,-61.428,0.0,46.179,8.247,-46.166,-8.2,-18.264,-62.047,0.0,-113.39,6.918,-113.38,-7.1,-131.17,-62.066,0.0,-110.77,7.221,-69.283,-7.2,132.08,-68.996,0.0,155.18,4.811,-24.85,-4.8,-15.509,-69.355,0.0,155.91,4.691,-155.95,-4.65,-99.631,-69.429,0.0,-54.959,6.358,-125.11,-6.3,-6.057,-69.768,0.0,-57.047,6.304,-57.027,-6.5,-72.484,-74.079,0.0,-54.757,6.358,-54.933,-6.3,-170.01,-74.51,0.0,-52.976,6.152,-127.13,-6.15,48.695,-74.647,0.0,21.335,4.305,-21.337,-4.15,168.54,-76.13,0.0,-145.68,4.46,-34.437,-4.35,129.6,-77.537,0.0,93.874,1.389,86.051,-1.4,9.0,1.0,1.5,10
8,161.56,-63.154,0.0,133.82,8.247,-46.166,-8.2,41.695,-63.589,0.0,-129.63,7.784,-50.391,-7.55,-86.708,-63.634,0.0,136.01,7.859,-136.15,-7.9,-145.5,-64.046,0.0,-131.9,7.521,-131.88,-7.3,47.188,-73.806,0.0,18.636,3.688,-18.683,-3.65,-143.11,-74.027,0.0,18.193,3.527,-161.78,-3.6,-142.55,-76.6,0.0,158.67,4.305,-21.337,-4.15,173.13,-76.75,0.0,-116.57,7.617,-49.584,-7.55,45.463,-76.883,0.0,159.01,4.081,-159.27,-4.05,-29.083,-78.306,0.0,-116.57,7.294,-132.78,-7.3,135.93,-79.18,0.0,163.4,3.506,-16.573,-3.25,-67.793,-79.413,0.0,163.34,3.121,-163.82,-3.2,129.37,-81.473,0.0,38.108,3.032,38.079,-3.05,-54.968,-82.187,0.0,18.539,-3.61,-18.75,-8.575,-158.85,-82.934,0.0,-153.43,4.366,-24.237,-4.05,11.0,1.0,1.5,9
9,-70.42,-64.271,0.0,139.27,7.421,-40.78,-7.45,-34.531,-64.654,0.0,141.1,7.169,-141.12,-7.15,-11.526,-71.845,0.0,56.59,2.955,-49.714,-2.95,144.94,-72.026,0.0,57.339,2.943,-131.23,-2.9,-121.77,-73.249,0.0,19.865,3.892,-19.938,-3.9,56.493,-73.476,0.0,19.358,3.801,-160.59,-3.8,-1.203,-75.56,0.0,-34.932,4.544,-34.917,-4.4,-45.081,-76.045,0.0,-33.943,4.384,-146.07,-4.3,49.351,-77.296,0.0,160.21,3.883,-19.938,-3.9,-132.87,-77.565,0.0,160.7,3.802,-160.59,-3.8,96.014,-77.699,0.0,135.4,28.105,-38.55,5.875,90.804,-77.939,0.0,137.11,28.788,-143.2,5.425,-79.772,-78.519,0.0,56.547,6.325,-49.6,4.874,71.094,-78.588,0.0,57.334,6.427,-131.35,4.475,167.79,-78.612,0.0,56.456,2.956,-49.614,-2.95,12.0,1.0,1.5,9
