0;53,665;7,326;12,72;3,566;1;1
1;40,937;6,398;6,005;2,451;2;1
2;29,729;5,452;0,667;0,817;3;1
3;18,854;4,342;5,639;2,375;4;1
4;11,758;3,429;16,213;4,027;5;1
5;1,506;1,227;75,664;8,698;7;1
6;0,014;0,117;16,197;4,025;8;1
7;1,22;1,104;75,73;8,702;9;1
8;9,624;3,102;16,235;4,029;11;1
9;17,392;4,17;5,493;2,344;12;1
10;29,507;5,432;0,663;0,814;13;1
11;41,021;6,405;6,237;2,497;14;1
12;53,387;7,307;12,741;3,57;15;1
13;52,023;7,213;5,203;2,281;1;2
14;39,2;6,261;9,819;3,134;2;2
15;28,267;5,317;1,408;1,186;3;2
16;18,694;4,324;0,36;0,6;4;2
17;10,691;3,27;31,639;5,625;5;2
18;1,126;1,061;176,569;13,288;7;2
19;0,001;0,026;24,58;4,958;8;2
20;1,345;1,16;177,356;13,318;9;2
21;11,263;3,356;31,714;5,632;11;2
22;17,528;4,187;0,353;0,594;12;2
23;27,036;5,2;1,466;1,211;13;2
24;39,212;6,262;10,016;3,165;14;2
25;51,76;7,194;5,336;2,31;15;2
26;52,904;7,274;1,075;1,037;1;3
27;40,867;6,393;17,813;4,221;2;3
28;28,885;5,374;2,706;1,645;3;3
29;17,394;4,171;1,349;1,161;4;3
30;10,713;3,273;7,326;2,707;5;3
31;0,938;0,968;61,778;7,86;7;3
32;0;0,021;11,34;3,367;8;3
33;1,36;1,166;61,494;7,842;9;3
34;10,712;3,273;7,001;2,646;11;3
35;16,912;4,112;1,315;1,147;12;3
36;27,502;5,244;2,731;1,653;13;3
37;43,366;6,585;17,806;4,22;14;3
38;54,069;7,353;1,114;1,055;15;3
39;50,902;7,135;2,607;1,615;1;4
40;40,859;6,392;0,005;0,072;2;4
41;26,561;5,154;8,035;2,835;3;4
42;18,363;4,285;6,538;2,557;4;4
43;10,965;3,311;0,122;0,349;5;4
44;1,327;1,152;10,136;3,184;7;4
45;0,001;0,036;2,832;1,683;8;4
46;1,083;1,041;9,907;3,147;9;4
47;10,582;3,253;0,141;0,375;11;4
48;17,84;4,224;6,561;2,561;12;4
49;25,703;5,07;8,137;2,853;13;4
50;40,715;6,381;0,001;0,029;14;4
51;51,326;7,164;2,721;1,649;15;4
52;53,089;7,286;0,421;0,649;1;5
53;38,118;6,174;6,361;2,522;2;5
54;27,734;5,266;8,007;2,83;3;5
55;16,882;4,109;5,039;2,245;4;5
56;10,471;3,236;3,315;1,821;5;5
57;1,237;1,112;0,092;0,303;7;5
58;0,003;0,058;12,498;3,535;8;5
59;0,995;0,997;0,092;0,304;9;5
60;9,59;3,097;3,285;1,812;11;5
61;16,669;4,083;5,021;2,241;12;5
62;26,449;5,143;7,884;2,808;13;5
63;39,14;6,256;6,361;2,522;14;5
64;53,32;7,302;0,467;0,684;15;5
65;1,268;1,126;1,631;1,277;7;6
66;0,014;0,118;14,593;3,82;8;6
67;0,96;0,98;1,707;1,306;9;6
68;55,321;7,438;34,754;5,895;1;7
69;43,169;6,57;42,171;6,494;2;7
70;26,081;5,107;0,361;0,601;3;7
71;17,579;4,193;12,181;3,49;4;7
72;10,035;3,168;26,898;5,186;5;7
73;1,077;1,038;3,769;1,941;7;7
74;0,015;0,122;25,075;5,007;8;7
75;1,178;1,085;3,668;1,915;9;7
76;9,964;3,157;28,001;5,292;11;7
77;17,579;4,193;12,448;3,528;12;7
78;27,241;5,219;0,199;0,446;13;7
79;43,901;6,626;43,289;6,579;14;7
80;52,945;7,276;35,324;5,943;15;7
81;53,411;7,308;13,911;3,73;1;8
82;41,099;6,411;5,53;2,352;2;8
83;26,901;5,187;7,923;2,815;3;8
84;17,01;4,124;21,741;4,663;4;8
85;9,211;3,035;88,618;9,414;5;8
86;1,09;1,044;2,172;1,474;7;8
87;0,005;0,073;29,93;5,471;8;8
88;1,074;1,036;2,2;1,483;9;8
89;9,44;3,072;88,745;9,42;11;8
90;16,874;4,108;21,801;4,669;12;8
91;25,555;5,055;7,877;2,807;13;8
92;40,141;6,336;5,482;2,341;14;8
93;50,768;7,125;14,039;3,747;15;8
