,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
0,0.414,0.643,15.29,3.91,1.0,1.0,7.852
1,0.59,0.768,0.461,0.679,2.0,1.0,0.525
2,1.592,1.262,0.421,0.649,3.0,1.0,1.006
3,0.425,0.652,9.888,3.144,4.0,1.0,5.156
4,33.14,5.757,10.441,3.231,5.0,1.0,21.791
5,0.923,0.961,27.615,5.255,7.0,1.0,14.269
6,0.05,0.224,12.524,3.539,8.0,1.0,6.287
7,1.255,1.12,1.369,1.17,9.0,1.0,1.312
8,0.069,0.263,152.824,12.362,11.0,1.0,76.447
9,0.543,0.737,13.45,3.667,12.0,1.0,6.997
10,1.591,1.261,0.066,0.257,13.0,1.0,0.828
11,0.816,0.903,3.073,1.753,14.0,1.0,1.944
12,0.163,0.403,5.096,2.257,15.0,1.0,2.629
13,12.014,3.466,5.976,2.445,1.0,2.0,8.995
14,0.673,0.82,0.653,0.808,2.0,2.0,0.663
15,6.225,2.495,4.149,2.037,3.0,2.0,5.187
16,0.321,0.566,3.662,1.914,4.0,2.0,1.991
17,9.58,3.095,1.756,1.325,5.0,2.0,5.668
18,3.161,1.778,3.095,1.759,7.0,2.0,3.128
19,0.008,0.087,0.88,0.938,8.0,2.0,0.444
20,0.872,0.934,1.772,1.331,9.0,2.0,1.322
21,0.02,0.143,25.594,5.059,11.0,2.0,12.807
22,0.344,0.587,1.315,1.147,12.0,2.0,0.83
23,5.304,2.303,1.346,1.16,13.0,2.0,3.325
24,5.224,2.286,2.153,1.467,14.0,2.0,3.688
25,4.439,2.107,14.649,3.827,15.0,2.0,9.544
26,7.396,2.72,21.439,4.63,1.0,3.0,14.418
27,5.027,2.242,1.017,1.008,2.0,3.0,3.022
28,3.45,1.857,4.226,2.056,3.0,3.0,3.838
29,1.883,1.372,3.861,1.965,4.0,3.0,2.872
30,12.208,3.494,16.729,4.09,5.0,3.0,14.469
31,0.001,0.037,4.565,2.137,7.0,3.0,2.283
32,0.102,0.32,0.17,0.412,8.0,3.0,0.136
33,0.177,0.421,4.26,2.064,9.0,3.0,2.219
34,1.764,1.328,1.69,1.3,11.0,3.0,1.727
35,0.725,0.851,13.269,3.643,12.0,3.0,6.997
36,23.506,4.848,12.727,3.567,13.0,3.0,18.116
37,7.336,2.709,4.595,2.144,14.0,3.0,5.966
38,9.483,3.079,9.216,3.036,15.0,3.0,9.349
39,4.937,2.222,23.456,4.843,1.0,4.0,14.197
40,1.381,1.175,2.28,1.51,2.0,4.0,1.831
41,3.024,1.739,46.009,6.783,3.0,4.0,24.517
42,13.684,3.699,0.006,0.079,4.0,4.0,6.845
43,5.449,2.334,4.495,2.12,5.0,4.0,4.972
44,0.156,0.396,0.904,0.951,7.0,4.0,0.53
45,1.791,1.338,0.239,0.489,8.0,4.0,1.015
46,2.702,1.644,3.802,1.95,9.0,4.0,3.252
47,1.343,1.159,0.29,0.538,11.0,4.0,0.816
48,0.051,0.225,18.56,4.308,12.0,4.0,9.305
49,0.559,0.748,8.55,2.924,13.0,4.0,4.555
50,4.923,2.219,1.444,1.202,14.0,4.0,3.184
51,0.012,0.108,4.119,2.03,15.0,4.0,2.065
52,15.056,3.88,1.691,1.3,1.0,5.0,8.373
53,0.009,0.094,27.571,5.251,2.0,5.0,13.79
54,6.058,2.461,187.454,13.691,3.0,5.0,96.756
55,15.78,3.972,21.317,4.617,4.0,5.0,18.548
56,13.073,3.616,43.245,6.576,5.0,5.0,28.159
57,0.293,0.541,0.526,0.726,7.0,5.0,0.41
58,0.244,0.494,6.999,2.645,8.0,5.0,3.621
59,0.861,0.928,8.982,2.997,9.0,5.0,4.921
60,0.346,0.589,1.392,1.18,11.0,5.0,0.869
61,8.806,2.967,4.473,2.115,12.0,5.0,6.639
62,5.651,2.377,15.818,3.977,13.0,5.0,10.735
63,0.028,0.167,87.146,9.335,14.0,5.0,43.587
64,1.791,1.338,24.451,4.945,15.0,5.0,13.121
65,3.272,1.809,0.0,0.001,7.0,6.0,1.636
66,3.735,1.933,0.024,0.155,8.0,6.0,1.88
67,0.749,0.865,0.748,0.865,9.0,6.0,0.748
68,3.657,1.912,0.69,0.83,1.0,7.0,2.173
69,0.432,0.657,3.779,1.944,2.0,7.0,2.106
70,0.04,0.2,0.336,0.579,3.0,7.0,0.188
71,0.195,0.442,2.199,1.483,4.0,7.0,1.197
72,4.361,2.088,8.034,2.834,5.0,7.0,6.198
73,1.38,1.175,0.973,0.987,7.0,7.0,1.177
74,6.067,2.463,3.864,1.966,8.0,7.0,4.966
75,0.289,0.538,0.345,0.587,9.0,7.0,0.317
76,15.517,3.939,0.098,0.314,11.0,7.0,7.808
77,6.235,2.497,2.265,1.505,12.0,7.0,4.25
78,0.465,0.682,70.976,8.425,13.0,7.0,35.721
79,23.718,4.87,95.745,9.785,14.0,7.0,59.731
80,34.025,5.833,24.376,4.937,15.0,7.0,29.201
81,1.113,1.055,4.904,2.215,1.0,8.0,3.008
82,3.339,1.827,0.002,0.049,2.0,8.0,1.671
83,0.239,0.489,16.936,4.115,3.0,8.0,8.587
84,0.14,0.375,18.607,4.314,4.0,8.0,9.374
85,0.363,0.603,8.399,2.898,5.0,8.0,4.381
86,3.068,1.752,2.509,1.584,7.0,8.0,2.788
87,0.0,0.008,0.207,0.455,8.0,8.0,0.104
88,0.014,0.117,0.021,0.144,9.0,8.0,0.017
89,0.575,0.758,1.177,1.085,11.0,8.0,0.876
90,5.712,2.39,64.395,8.025,12.0,8.0,35.053
91,0.033,0.182,4.73,2.175,13.0,8.0,2.382
92,1.475,1.214,0.79,0.889,14.0,8.0,1.132
93,20.046,4.477,5.67,2.381,15.0,8.0,12.858
94,1.991,1.411,0.01,0.1,1.0,9.0,1.001
95,2.812,1.677,16.836,4.103,2.0,9.0,9.824
